Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
2,24,701772,12,84,1509696,5619648,14
3,25,391408,50,75,1473991,1548216,12
1,3,114576,24,63,327423,998052,15
2,7,258510,24,290,558652,2186149,13
3,27,651123,63,675,1289349,5474781,6
3,37,380508,111,629,985544,12140625,4
2,22,731170,44,693,1349128,4532066,4
2,8,214912,8,8,213704,2264340,6
3,34,603341,45,521,937096,2931763,14
2,17,618842,76,850,1122042,5335543,3
2,22,481382,22,649,1278189,1064767,1
2,16,207808,24,704,1307096,3240792,15
2,16,454288,16,312,753224,5941872,11
1,5,239815,20,150,957995,523000,9
3,35,663506,11,536,1852678,2942730,13
3,38,791046,38,278,1038945,11120991,11
2,13,214721,26,637,818311,668941,10
3,36,596892,108,828,2372376,7461012,12
3,25,222791,66,650,642283,606291,11
2,8,163868,24,352,382820,1169512,8
3,33,223993,44,154,1119690,3157429,12
2,9,319117,13,301,334575,3799318,4
3,35,244626,35,723,2226140,7882571,6
2,14,355026,70,462,729211,3781470,13
3,25,550716,33,408,489583,4189883,7
2,20,300520,20,910,1025400,8156660,5
3,36,622320,48,192,1937484,5063400,15
2,15,199665,15,330,1191937,7297905,6
2,16,185776,56,232,1182200,6075232,3
2,8,100060,4,40,698664,1476804,12
2,15,464910,45,292,885442,6390030,6
2,9,261540,27,22,687015,3261397,7
3,30,671930,40,120,1785080,4396080,3
2,9,326065,36,274,814315,3505360,1
3,29,556258,96,464,1506163,6116854,3
2,9,337378,45,378,632029,3336970,3
2,19,381263,47,589,1803071,7768283,4
2,19,197172,66,950,957505,7837291,14
2,8,139480,32,48,731132,1127760,8
1,6,416418,36,288,633456,5591886,9
2,7,71260,7,101,552790,2505713,8
2,15,415770,52,210,816622,5849722,13
2,14,437227,21,371,570675,589680,9
2,12,412830,36,318,888756,2541720,3
3,40,449586,120,200,2555640,5015440,15
2,7,112294,17,17,595973,214735,13
3,40,968093,40,680,874626,8296013,5
3,32,618229,106,213,686869,7160981,14
2,10,247680,40,490,977925,2440380,11
3,31,664846,82,754,1935361,9997634,5
3,29,575408,38,77,1273892,2639425,12
1,1,28998,3,53,143932,760886,6
2,10,167985,25,415,569320,4281955,13
3,34,782906,45,487,1611702,6193916,1
1,3,201012,6,42,157887,2722896,7
3,30,555720,60,450,1713670,3797570,12
2,11,184206,16,55,445434,1617500,8
3,37,426819,86,678,2274871,3805104,6
2,22,529419,88,748,1118359,1301982,15
3,29,218302,9,135,1283607,8001283,6
2,22,421982,99,957,1965843,5239113,9
2,24,247212,48,168,2171256,11798820,13
1,3,195987,15,93,329325,973299,14
3,36,271968,108,600,817248,8247600,3
2,23,849746,92,736,724293,5388187,8
2,20,671220,20,360,1182520,5446350,15
1,6,377052,6,336,855798,1775040,13
2,17,486013,59,552,1574829,3634064,4
3,39,834223,65,221,1779414,6797362,13
3,30,235040,90,630,1162400,9436340,11
2,19,578854,85,446,660240,5603337,7
2,15,477067,30,112,979672,1290907,1
3,32,598357,64,64,1797269,8343872,13
1,1,51474,9,66,157030,322072,7
1,2,103454,14,134,384026,814498,13
2,14,303695,70,616,1252685,4042766,1
3,34,734354,11,702,1441838,11218594,1
2,20,652360,70,480,1834730,6208400,5
2,22,701349,33,946,1328338,10453938,13
3,38,892100,63,304,1207348,11693499,14
2,15,251062,15,397,422175,6279472,4
3,35,385198,46,315,1901608,699591,9
3,36,508560,24,408,2377800,1850688,7
2,11,159505,22,187,731978,2158233,9
3,29,219713,87,106,583161,7672607,15
1,1,34698,7,21,196492,276330,15
3,31,519932,93,837,1157509,6365416,7
2,7,113326,3,164,454205,799981,8
2,24,845940,36,636,696240,3041832,8
2,13,147283,52,370,360808,6280469,3
3,35,722551,93,1015,1433401,5909330,5
2,24,706512,24,108,1458888,11663004,1
2,14,481089,28,210,1127763,6711495,11
2,23,445464,80,437,1778187,11043243,4
2,16,584376,64,688,413184,6346040,9
1,6,166818,36,558,1015680,2293074,1
3,31,343170,10,237,1425504,2958784,15
2,8,273884,28,288,513504,437832,10
2,10,279810,15,195,313535,4313660,3
3,27,440892,27,432,1488447,3345741,5
3,25,368441,16,116,1040108,1764741,10
2,22,820292,77,286,1373130,8628081,13
2,9,129046,22,22,486891,1673505,2
3,32,550880,64,437,1275189,5180746,15
3,36,511608,24,168,869964,8068308,1
2,24,308028,48,1044,1027944,2597244,9
2,15,270540,30,82,556807,3437617,9
3,35,572203,58,420,1428735,8474830,10
3,26,480644,69,832,523605,6230102,2
2,10,125980,15,230,643455,1583405,9
3,31,558899,51,217,1378115,4541117,4
1,1,48838,1,12,62584,660843,14
2,11,282557,49,407,893321,3628526,2
3,38,478534,12,1165,2156563,4689250,5
2,13,132658,52,325,515892,4242348,5
3,31,246584,41,206,650049,3556299,14
3,30,293750,30,420,1374640,7874920,14
3,37,783734,37,419,1494516,10029318,6
2,12,413676,18,54,921006,3223362,11
3,29,648875,96,667,1172035,8506927,7
1,5,325590,40,65,955420,1024510,9
3,40,732373,120,1253,2429813,9926933,12
3,32,275626,85,736,1364789,3526197,7
3,35,860428,11,805,1895180,6910516,14
1,3,184143,6,189,266265,1480119,7
3,33,347853,33,88,1628165,4767796,9
2,10,360440,10,470,421320,4643675,5
3,32,527456,64,458,1129066,5164181,8
2,8,205568,12,304,347700,1050740,14
2,11,303633,27,143,516505,2571827,1
2,10,266665,45,350,312300,2358610,9
3,30,604370,100,360,1165500,2743010,11
1,2,143306,8,102,233932,1771352,8
3,28,390721,37,662,1215218,6598470,15
3,32,795082,53,138,791168,2243626,3
2,24,516360,120,168,753144,11088156,10
3,36,463368,12,1104,1508124,7916124,2
3,39,632840,65,481,2096276,9257807,1
1,5,102470,35,475,757230,3041025,12
3,38,759962,12,1266,1546473,5089593,5
3,35,283931,11,770,780033,5575581,4
2,8,106596,8,384,296564,1161076,15
1,2,108560,12,158,143730,895450,7
2,17,535576,17,93,499698,6153099,1
1,3,189723,18,114,383976,667152,7
2,17,457920,51,697,884042,3251139,2
3,40,872266,80,280,1461000,2898320,6
2,24,718296,72,660,1578468,8544756,14
3,25,251225,25,350,966366,3918383,12
2,15,546615,75,142,843315,6167985,1
3,36,871716,84,168,1628520,11575632,4
2,24,395748,120,72,1540440,3130752,12
2,14,244482,28,455,501802,3308662,4
1,1,54151,4,36,167443,369831,12
2,7,201222,35,269,339108,1475561,15
3,38,510276,25,468,2532510,4167472,8
2,17,362074,42,467,1370625,1412326,10
2,14,289667,70,343,403032,4173911,4
3,40,423480,93,533,2037226,8818360,2
3,40,365800,80,160,1405293,10991906,10
3,29,652732,19,193,1235429,2570917,9
2,12,416334,48,66,616206,2597610,14
1,3,224121,12,276,477936,1079655,3
2,10,104295,45,455,393795,1550865,15
2,9,264897,27,76,353628,3344044,9
2,19,359869,19,845,1148939,3244943,3
3,40,852000,106,133,2236093,8583506,14
3,33,326469,55,858,1977998,8293527,10
1,2,126792,4,86,333366,1639702,11
1,3,110292,18,294,259857,1628763,4
1,3,218589,21,48,162324,2509761,7
1,5,247460,15,70,849785,1587890,8
3,30,557690,80,450,1412460,7977140,7
1,4,101448,28,184,381700,3569584,10
1,6,375786,12,498,591096,2609970,3
2,22,434742,55,1023,1770010,5338564,10
2,8,86524,36,64,582716,1394292,14
1,3,176658,9,141,381504,950256,11
3,32,329898,53,149,1682688,5697941,2
2,10,230245,20,35,437900,1354900,5
1,1,71582,4,58,54767,167590,5
3,35,524475,81,513,949305,1836216,7
3,28,334562,84,280,1009913,1065521,1
3,28,393661,46,102,1408530,7312330,12
2,21,583558,21,189,1169941,3150357,6
1,4,281532,16,228,510404,3587500,15
2,22,533764,22,693,687687,9327197,14
3,37,532615,123,1134,1419751,10788854,4
3,40,274746,106,293,2565040,8195386,8
2,17,451265,51,518,796705,7589403,8
2,13,476482,65,130,1078031,4819828,10
2,14,328699,42,455,1029644,4261873,6
2,18,360558,36,9,666153,8285301,9
3,36,288696,24,768,1984500,2082828,3
3,32,521322,85,554,1856096,9258677,6
2,10,276840,50,115,409165,3558915,11
3,32,435082,74,928,581536,7610890,10
3,38,744027,12,937,2501413,2184290,7
3,38,544654,25,557,2117094,1511437,7
3,39,518336,13,1157,1302210,4111419,9
2,19,300542,38,570,937726,2363856,11
2,20,214190,100,420,865500,2981130,15
2,22,415701,66,572,1207030,2016333,13
2,17,427295,8,586,457257,3382838,4
3,26,332453,17,840,471900,7424551,8
3,35,285320,58,140,1235010,6417180,3
2,24,307056,36,84,2250504,11444760,9
3,36,292692,120,768,727848,6948384,11
3,37,514892,98,604,1073518,4922418,4
2,23,711551,115,103,1015829,9293518,11
2,19,439023,85,171,688987,7086135,4
3,40,655146,120,466,1923760,9594160,13
2,23,835774,57,483,1653274,4222903,4
3,35,396398,11,116,884286,4204176,6
3,34,371722,90,532,1438653,5974264,6
2,22,587455,55,539,1044186,6869731,14
3,35,533703,23,385,1328658,1091883,15
3,39,871611,130,39,1287845,11136918,14
2,13,405353,58,19,586761,2293258,13
3,33,606144,88,363,1398375,8130496,4
3,35,703593,11,793,1221418,2822586,12
2,11,228041,11,324,312642,5192203,4
2,8,116132,28,40,545764,1219320,7
3,36,549504,72,324,680400,5559552,9
2,19,566285,66,161,1549839,4912877,10
1,6,262152,24,438,1062066,3682782,5
3,32,404832,85,181,958677,9409376,11
3,37,709302,111,357,864159,10573958,8
3,39,793117,39,1144,1166672,2617446,5
3,32,446933,74,928,873600,7886581,12
2,23,305394,103,379,814637,3126482,10
1,1,74117,7,39,133301,236138,4
3,36,600036,60,1176,996828,943644,2
2,16,384760,16,256,1160584,5199800,11
3,38,876115,12,1089,1795829,4281700,4
2,9,172120,45,81,461758,232528,3
3,31,717970,31,186,622438,1301194,6
2,11,281006,5,346,653015,4216591,1
2,18,207036,27,702,902079,4471461,8
3,26,284448,69,572,540245,7823426,6
3,30,349620,90,700,1541850,6569930,9
3,35,338823,81,606,1428945,2559666,13
3,32,761440,96,885,862784,6736480,14
3,39,404807,78,1274,1254331,8396414,5
2,20,655460,90,460,764390,7817360,10
2,18,184617,54,648,1579734,1221138,8
2,12,368676,12,384,1117506,3364056,1
3,28,668602,84,700,1039584,7633658,15
3,30,657080,50,780,1481720,6568770,7
2,24,745596,24,168,680736,618888,15
3,38,699744,88,1228,676324,2409440,4
2,8,105000,32,196,511464,3790288,9
2,18,624204,27,756,475983,8468622,10
1,3,159624,27,66,423132,2539593,14
2,19,313538,28,769,1208932,2823523,4
1,3,107202,30,171,467109,867507,2
3,32,540629,64,693,725877,4913610,14
2,22,296835,33,990,1740266,6643846,2
2,10,333900,5,240,437945,4397010,6
2,9,246798,27,315,570123,476667,7
3,25,451316,33,516,1253758,2943083,7
1,4,158096,32,296,416336,3958800,4
2,24,320340,84,144,1872744,9640776,7
2,22,338888,22,1100,1594879,7850007,1
2,13,175591,52,533,564434,6005363,14
3,34,533584,113,136,1561495,4134105,3
3,26,387166,26,754,1481081,6715124,7
3,36,814632,84,204,996924,4390164,8
3,36,531360,48,228,1319388,11938728,14
1,3,196956,18,87,510204,862866,12
3,35,378641,116,595,950110,8101835,13
3,27,538155,27,81,1115298,8727579,8
2,10,248025,25,500,528225,870105,14
3,32,316213,106,21,1327050,6268981,3
3,28,452937,74,700,1653698,4769884,7
1,3,147963,9,231,275097,417255,15
2,18,535023,18,900,712179,4928526,2
3,33,401687,22,506,1817585,5322405,12
3,27,475965,27,9,960588,3930174,14
1,3,219714,24,204,239916,1656567,3
3,28,260577,65,373,1126262,4904069,9
3,27,332271,9,567,653085,1078623,4
3,33,284966,77,759,2019490,3346574,2
3,40,734173,66,613,1331773,12364626,2
2,18,624447,63,828,1013679,3509523,12
2,14,500185,35,14,1216327,3092439,4
3,31,518010,20,196,1040794,4656840,11
3,25,435091,83,733,717841,2478683,13
2,19,417325,57,475,767904,8437919,13
2,24,792444,24,60,893808,4270404,8
2,17,436951,51,221,544977,4562460,1
2,16,380400,72,64,1044624,4144032,5
1,2,70214,2,134,231352,1159048,7
1,2,147544,8,136,132870,1289844,7
3,36,674472,60,864,646872,2256720,12
2,24,857892,60,84,993024,3014280,5
3,31,675200,72,403,544391,1304201,14
3,36,841680,108,1068,1873992,7655508,4
3,28,253866,9,37,786454,1500296,9
3,25,465725,75,716,750825,5583633,6
1,3,200598,27,132,409245,932280,9
1,4,292932,12,288,782684,1584844,5
1,2,65784,16,16,261632,1937118,9
2,18,473499,18,693,1086462,3756771,2
3,26,277749,86,329,1285856,1134137,8
1,5,248455,15,240,944130,631290,13
3,25,465266,83,541,837183,3315216,10
2,24,510936,12,504,1855068,3440724,5
3,33,509058,88,352,1583054,1687983,9
2,17,178406,76,8,1435871,5862263,3
3,28,468832,28,812,1118012,3014722,12
3,34,691435,102,238,1045828,4323304,12
1,5,231705,40,275,515420,4562650,9
2,11,358814,49,478,969985,503211,15
2,16,483152,80,448,1333152,2024288,9
2,22,804705,33,572,1892374,3961606,3
3,35,319631,81,711,2304785,3539223,2
2,24,646140,24,864,2062440,2320872,8
3,34,362043,90,1008,1285585,10135196,9
3,31,378396,72,899,873538,2377917,8
2,19,303202,85,237,671906,7087864,5
2,11,266282,38,44,610412,4121507,2
3,30,258390,80,440,1979700,1824610,9
2,22,578017,66,253,2198174,10168114,9
3,31,247814,72,692,1679125,4315003,13
2,24,564672,96,480,662184,1943820,7
3,27,437787,36,342,1540638,3859722,9
1,6,177954,24,576,843636,5093226,3
2,13,453316,52,325,436065,2737384,10
2,21,442627,63,262,798441,8955586,6
2,21,303555,94,924,2096251,6510210,3
3,33,372295,77,770,1717210,5554681,3
2,18,542151,72,108,1467999,4358331,10
2,19,328130,38,313,999761,4515112,8
2,15,322732,52,255,1322460,3226230,11
2,21,499926,31,42,1439728,1907640,2
1,3,131583,30,174,221922,1914975,4
1,1,54877,9,51,154598,102244,9
3,38,773819,114,582,850288,8390488,5
3,29,245891,48,9,622813,4768334,11
2,12,122448,24,366,1084782,4180884,15
3,31,737748,10,268,1671933,2628862,10
3,27,429030,36,675,1700118,6186348,10
3,33,631741,22,847,2066075,5638259,13
2,16,310048,24,448,402152,4861624,7
1,5,294090,10,235,341230,1568010,8
2,24,669324,120,840,2056680,7809816,7
3,38,593002,12,671,2297442,7002754,10
2,23,236348,11,1127,1700907,9184613,12
3,28,339528,93,774,783981,6587989,14
3,32,346634,53,512,1911072,7474698,6
2,17,588446,51,850,723154,4483427,9
3,28,280924,84,541,1684013,2882553,5
2,7,163698,28,269,355792,3190754,10
2,24,593796,60,192,2342316,5868048,12
3,26,239668,26,788,1290778,7923136,4
3,28,284218,9,466,510552,1501285,10
2,12,374652,60,288,973884,3769950,13
3,29,344172,67,667,1918475,5548280,7
3,25,224008,50,25,845991,5570266,6
3,32,524064,21,181,987114,10376160,12
2,16,475536,16,184,887056,6617904,14
1,1,56805,7,66,191944,177012,14
2,11,320820,22,456,511758,2227313,12
2,20,419730,30,600,1439170,5671910,3
3,37,288970,12,222,938369,1284837,11
3,34,361862,56,340,933674,10281758,13
2,22,569041,22,231,1140282,8036721,12
3,38,575041,50,1203,1077756,9861101,2
3,30,440430,30,840,1730440,9672510,14
3,37,834596,24,740,841108,9070241,13
2,11,183364,22,506,685487,4803579,6
2,20,343510,50,270,1148750,5745450,5
1,4,158372,16,192,589952,3738084,8
2,15,305565,15,352,1076115,6808020,10
1,4,237764,24,16,601192,3101032,2
2,16,489120,80,152,650256,1855520,14
2,24,297732,24,744,2338908,2023908,10
2,21,713401,10,430,1477528,9766963,13
2,22,400785,66,132,1404700,2933381,14
1,4,289984,4,116,679848,2295960,14
2,23,433964,57,621,1201083,5824922,9
2,16,163264,32,576,1068704,4422760,1
2,10,256195,15,355,426205,387000,14
1,2,89524,2,28,312172,1634768,1
2,7,100971,7,238,550203,2822109,11
3,36,672624,24,972,1168524,8907804,6
1,6,309108,30,570,739386,5916486,2
2,19,609871,9,836,1332242,6573430,5
2,21,229425,94,378,1487335,10031679,1
2,16,438840,64,144,858360,7275704,14
1,4,228124,28,364,702436,3285748,12
3,36,873624,72,816,2145780,5730036,14
2,17,544986,8,306,659804,5867779,6
2,15,412612,52,570,1207897,4015312,6
3,33,809446,55,880,977075,6277887,11
3,28,241500,93,214,1500893,6216952,9
2,9,244975,4,319,876181,4162180,15
3,27,410085,90,99,1479033,6232914,12
3,30,344650,20,730,1907250,903210,4
2,19,711284,85,123,1047660,6827821,2
2,12,432054,42,444,353706,1459080,1
3,26,305621,8,632,715624,1802363,10
3,39,427635,104,325,1611077,1816958,4
2,9,159493,18,108,359410,863194,12
2,19,609311,9,370,1321630,6176159,11
2,7,78309,17,56,493139,2105250,1
1,1,70464,10,29,162842,630342,8
3,25,401716,25,41,859983,5586266,14
2,22,473693,33,847,1295404,628837,11
3,36,731412,48,564,2343960,11553480,8
2,20,375140,50,510,1708330,5823220,10
1,3,138897,12,270,593040,724020,11
2,14,205877,14,147,1101058,6659240,2
3,28,646585,65,672,958337,6182288,11
2,24,747996,84,456,1824108,3614736,14
2,9,151110,18,81,801265,1901817,6
2,22,478544,33,286,2151908,7809373,9
2,20,618880,80,750,561190,5873090,6
2,18,193662,45,801,1427328,7509762,8
3,28,624129,9,205,1779073,8589130,2
2,21,751285,63,514,634935,1521534,15
2,11,210699,44,55,434615,1549295,12
3,38,285886,38,861,1506307,1607856,7
2,9,289548,31,108,608782,4160511,3
2,19,217721,66,437,1118235,4663179,6
3,37,824471,123,690,776371,8320017,14
3,35,724570,81,828,1944075,6254313,9
2,11,367972,16,247,1019155,3225860,14
3,37,478644,12,222,1319025,4225819,5
2,7,205002,24,178,558747,2071972,7
2,15,152482,45,375,852937,6212227,3
2,17,386308,8,153,1130083,5700406,11
3,36,694044,84,1140,2166036,6367380,14
3,34,694178,34,113,1540279,9849845,10
2,22,426437,22,825,1146134,2324168,8
1,5,116835,20,435,883655,1916480,6
3,31,755749,62,930,774493,1803642,15
2,24,526992,48,264,866700,8702220,9
2,11,379830,49,489,453420,1196668,1
2,22,326469,55,22,1734106,3654882,9
3,30,349040,40,280,617080,3731560,4
3,30,647730,60,390,1993080,3395580,14
2,18,198432,18,459,1304469,726624,14
3,25,519266,66,191,509183,3535275,3
2,12,422940,12,78,955920,787188,4
3,29,690374,77,232,661615,6849519,13
2,21,379764,31,399,1003170,9956142,6
3,40,887013,40,1213,1820040,2102373,3
2,10,108180,25,70,277075,2153445,13
2,13,270198,45,169,1052070,1854541,1
3,37,286737,49,382,2270061,1868302,5
2,22,669130,110,726,1722039,4116343,13
2,14,235011,7,357,367367,1568462,10
3,40,808533,53,213,2538506,5179280,6
2,14,391678,14,266,1034775,3880142,9
3,36,786252,72,120,684564,11163636,15
1,6,215724,6,426,793446,722190,3
2,24,859776,108,660,1495284,5177424,12
3,37,777518,24,1233,1096482,2196381,3
3,40,289186,80,1053,2288240,6119013,11
3,30,364730,90,190,1186660,8393640,5
2,10,287290,40,335,518535,1530405,8
1,1,23040,10,52,180358,231988,11
3,26,215427,69,736,1171421,597696,15
2,13,333170,32,559,707089,716553,7
2,18,330066,27,891,1163727,1916037,6
1,6,343170,30,24,495666,4301592,14
2,18,379251,90,81,938574,3606246,13
2,21,658266,94,294,557088,4709019,1
2,15,255030,22,232,1395870,1531260,2
1,4,249784,24,388,246264,2410396,10
3,35,420956,70,490,868490,5557300,8
3,32,541066,32,181,1752533,6388629,1
3,30,494730,90,960,1461410,2760070,9
2,7,153573,21,140,190487,1099231,7
2,20,700310,80,830,1537190,2476980,3
3,32,764192,106,373,1870133,617461,3
2,7,91168,31,273,606228,1607781,8
2,8,153860,4,344,690308,3056272,8
1,2,50140,16,122,149696,1625646,1
2,11,233755,33,533,399135,4270486,3
2,10,199100,20,405,863150,3110750,4
2,18,565335,72,702,1447155,5529312,15
2,16,319800,40,568,1224712,4529840,9
2,17,278196,76,816,519528,675223,3
3,36,295452,96,804,1301136,8941224,15
2,13,200635,45,331,897650,809887,8
2,11,249590,22,462,915876,1673600,1
2,19,580830,19,66,669075,7404746,4
3,32,708309,64,725,942197,4311146,12
1,2,118844,2,158,155482,1265978,10
2,23,507610,80,322,1302363,3952032,13
2,9,181894,45,117,420543,3503043,1
2,14,140875,14,70,1163428,6910260,13
3,39,925743,117,78,1093521,3325348,14
3,29,311527,19,232,1103227,4631000,7
2,17,594974,25,620,871547,2515847,4
2,20,445280,20,170,1994140,9804850,8
2,17,386894,51,578,627342,8420261,1
2,11,402572,16,253,993371,696206,6
2,22,702207,99,935,1071862,1559074,9
1,2,81066,16,98,377326,1065314,14
1,1,71198,8,74,132748,58296,15
1,3,161916,18,69,543441,2920146,7
2,17,579887,17,722,737213,3037347,8
3,35,357571,93,501,2177210,9775768,6
3,32,357696,64,661,782986,7546336,14
3,40,301346,106,746,1925840,8366213,13
3,30,651980,30,730,1999430,1726850,6
3,38,880738,126,329,706825,10151155,11
3,35,682395,105,443,957518,2687101,10
3,36,463356,24,396,2122596,6189588,9
2,17,327343,8,306,749088,3780528,13
3,34,578600,34,680,1626854,7898358,8
2,21,357430,94,567,1063818,3111948,10
3,28,557937,28,774,1338306,899864,15
2,19,392939,47,541,475817,8570168,3
3,27,593496,36,135,1223109,5841432,14
2,17,192635,34,603,1287138,7911103,12
1,2,93856,14,172,216780,1441684,12
2,22,221892,33,473,2048233,3664782,10
3,40,405093,93,413,1679053,6924373,12
3,31,430672,93,227,555437,4287496,13
3,39,316030,52,520,903370,6694051,3
3,27,491814,72,612,849177,1788975,15
1,4,152764,32,224,301052,398296,3
3,32,544298,64,416,656768,4785994,2
1,1,46757,7,28,195086,497643,12
2,13,251998,26,539,966452,2478567,4
2,15,378217,52,270,1201155,1885980,4
3,28,626145,84,46,1274242,5918789,5
1,6,312786,60,114,800748,3053736,10
2,11,407165,5,82,1088945,4780671,14
2,9,93492,36,283,821232,871942,15
3,38,843220,126,1089,900688,2354809,9
3,27,278937,18,540,1700478,6609762,14
2,19,336699,95,674,1214670,4948806,7
1,5,167530,20,330,334920,1909440,11
2,23,687136,57,851,948819,7357343,9
3,32,503978,64,682,1425216,5953898,8
3,33,301433,88,880,739772,6925270,13
3,27,353412,36,117,620379,6189516,7
3,37,922447,12,752,1558316,10813077,8
2,10,178715,45,375,516850,4328905,1
3,37,728961,37,764,2052390,11548230,7
3,35,416733,46,653,1554233,6144343,5
3,36,800196,72,1176,1579092,7141140,13
1,5,136750,40,445,737910,2309625,8
3,32,358784,53,42,766709,6430602,2
3,30,504530,40,580,951500,9286760,1
3,36,750756,84,432,946524,667224,9
2,24,534576,108,1044,693792,3772716,5
1,4,151740,16,64,731728,1055728,10
2,17,202725,34,93,1041394,4795581,2
3,34,440345,22,850,1152634,4719064,6
3,28,446506,37,74,473125,7434989,13
3,26,592869,43,520,593502,7818624,2
3,26,393085,52,589,1502271,630439,2
3,30,340940,20,230,718030,6608770,12
2,7,255902,17,262,510692,483913,8
3,39,854945,117,260,1285843,5534958,14
2,9,217894,4,207,822784,3629506,12
3,35,526050,35,151,1650448,6138008,11
3,39,504842,52,377,1038973,9255090,1
2,19,231543,38,921,1819877,1461822,6
1,4,103712,20,256,396864,512584,11
2,24,758460,84,864,1999152,8738208,9
2,21,391954,73,441,1276548,6571908,12
2,19,412898,38,921,940471,4187058,8
1,6,219780,48,492,409206,829092,3
3,25,622225,33,425,1579200,3188166,9
2,14,270396,56,644,972636,1533077,14
3,27,623223,27,369,835947,542952,2
2,17,447601,76,722,1333420,1493152,1
2,23,733401,103,471,1159131,3220310,13
3,27,602676,90,567,887859,876285,6
3,25,430883,16,516,1189691,3415575,14
2,10,333025,15,245,297760,1443720,10
3,35,419055,23,245,1263570,4362435,1
3,31,340793,103,671,1467178,1060210,8
1,4,252928,24,300,429284,1423716,8
3,26,305777,60,476,1254231,5422066,12
1,5,345170,50,410,321170,546315,8
2,8,212368,12,108,295160,1640976,6
2,14,523789,35,49,662529,1189160,3
1,1,23605,9,34,142863,611593,3
2,15,181117,67,450,826777,3927742,3
1,2,67982,18,82,287928,1846698,8
3,39,704795,39,1183,2067416,7556783,3
2,22,387134,88,407,1025156,5045403,15
3,30,289010,30,360,1494130,755280,2
1,5,367420,25,395,843115,4622255,4
3,25,207058,50,241,1351866,6689400,4
3,38,609038,101,456,1694382,10442792,13
3,39,971256,130,650,1817465,1808599,10
3,39,756873,130,819,2299089,6592053,9
1,6,419304,42,66,618426,560082,9
3,29,503797,77,232,1624000,4426202,4
3,39,376324,52,1027,1940380,6393296,2
2,14,268555,28,294,780619,1605989,14
2,19,432335,9,380,1534924,7193932,9
2,21,339297,31,682,601062,7484358,4
3,36,705708,60,684,1714764,1830960,11
2,24,537756,48,600,665136,2531316,11
2,20,377180,60,800,1041670,6932580,10
2,15,232357,37,337,754192,1410562,13
2,7,135527,17,21,316120,2107028,8
3,28,663413,9,401,1108762,7253568,2
2,7,150503,7,105,219796,811629,3
2,13,443891,26,234,692711,2906559,14
3,34,598116,79,918,1503638,2305143,13
3,39,564733,130,767,720174,11192961,15
3,27,542673,27,666,1244700,5152428,3
2,13,236957,6,611,1242722,5542485,1
3,33,594429,33,1067,703285,8092227,6
1,6,165840,30,102,936864,2962896,14
3,36,528888,108,144,2040600,10654416,7
2,16,550952,56,96,1502160,4607704,10
2,12,306234,48,294,656136,2347098,4
2,11,216375,44,49,277156,449900,12
1,5,232565,50,130,920065,3761555,14
2,14,209755,14,56,502173,669340,12
3,35,592631,35,665,1216611,2841358,14
1,1,45763,5,35,119455,919318,7
3,34,484874,102,204,1475384,1016226,6
1,5,235900,5,25,863075,1596965,13
2,7,247530,31,115,566982,994679,8
3,36,879204,24,972,1169448,6816480,4
2,16,467400,24,584,486088,7830608,15
3,32,333674,21,501,1657162,5256277,3
1,5,283480,50,470,978665,1314650,12
2,19,191662,85,142,814055,8196923,13
2,14,501823,35,273,728553,1504825,14
1,5,224570,50,280,367655,2724735,9
3,40,565440,80,1200,1730360,3116346,7
1,6,388416,48,234,938934,3120126,1
3,38,656386,88,177,1893122,10479513,7
3,28,316325,46,448,1584370,2964201,12
3,32,697290,21,192,605130,7587072,11
2,12,144666,24,330,310158,1942962,13
3,37,401783,49,49,1330446,8668557,10
3,39,473785,26,338,2209207,3668275,3
1,3,189105,24,36,363540,986214,9
2,14,368249,42,427,726670,1805363,4
2,12,206178,42,378,510930,1798488,14
1,1,72581,6,87,135883,423059,11
3,34,686573,79,963,1750580,3795261,7
3,29,433714,67,522,883069,2451727,3
3,29,665124,87,551,1519957,5478032,7
2,24,464616,48,768,1347552,5205360,11
2,21,424294,52,52,1497646,7637007,4
2,9,158445,13,378,409131,1981404,13
2,15,528975,60,465,731505,6051300,9
2,14,176771,42,49,1141889,5489988,6
2,11,285230,11,484,589902,1491325,13
3,32,414357,53,202,1851434,10419040,3
1,6,377058,24,312,472782,2336484,1
3,32,452981,85,885,1853269,4812074,14
2,15,218977,7,127,932542,4066912,8
3,27,356499,9,504,729414,3564792,3
2,15,462255,22,330,542535,5453175,2
3,34,389050,90,90,892930,9644961,14
3,29,311895,38,657,793981,624611,11
2,23,733665,46,11,1581675,2208575,8
3,32,536288,106,917,1897653,6433290,1
3,34,749314,56,736,857684,10554926,12
1,3,134577,18,216,371604,318684,12
3,38,838951,12,848,1144724,8416214,13
1,5,118215,10,305,653195,892125,3
3,34,340952,56,725,1073663,10496332,15
3,35,479418,105,210,2286036,1274221,10
2,24,344136,120,1140,1478580,7822260,8
2,21,400543,10,262,761691,2560929,10
3,38,254904,88,785,1924624,2442614,2
3,34,676396,79,158,721196,6016798,11
3,31,614864,20,506,1112404,527950,10
2,9,98356,36,373,718893,1233571,3
2,20,482930,10,770,1337000,9208720,3
2,9,304753,18,319,841306,4313155,12
1,3,66417,21,99,298179,1859052,15
3,30,708740,30,60,506410,2564350,1
3,33,305976,55,704,1898490,3080099,6
